cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141590|2020-10-25|Feminino|1953-12-02|tartaruga|moderado|Chá|Escutar música
10141649|2020-10-25|Feminino|1970-08-03|cachorro|moderado|Café|Dormir
10141914|2020-10-25|Masculino|1980-10-21|peixe|quente|Água|Praticar esporte
10142200|2020-10-25|Masculino|1950-06-09|peixe|quente|refrigerante|Dormir
10142245|2020-10-25|Masculino|1997-09-04|gato|moderado|refrigerante|Escrever
10142400|2020-10-25|Masculino|1974-08-23|gato|moderado|Água|Aprender algo novo
10142485|2020-10-25|Masculino|1993-10-28|tartaruga|moderado|Café|Escrever
10142802|2020-10-25|Masculino|1992-09-24|tartaruga|frio|Vinho|Aprender algo novo
10143096|2020-10-25|Masculino|1960-11-22|gato|frio|Vinho|Praticar esporte
10143218|2020-10-25|Masculino|1992-09-29|cachorro|frio|refrigerante|Assistir TV
10143225|2020-10-25|Masculino|1958-11-10|gato|frio|Chá|Aprender algo novo
10143230|2020-10-25|Masculino|1989-11-19|gato|quente|Cerveja|Praticar esporte
