cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141979|2020-07-18|Feminino|1977-03-13|gato|quente|refrigerante|Dormir
10142000|2020-07-18|Feminino|1980-06-28|tartaruga|frio|Vinho|Escrever
10142017|2020-07-18|Masculino|1966-04-28|cachorro|frio|Água|Escutar música
10142276|2020-07-18|Masculino|1955-10-28|tartaruga|frio|Cerveja|Escrever
10142413|2020-07-18|Masculino|1980-08-01|cachorro|frio|Cerveja|Assistir TV
10142476|2020-07-18|Masculino|1974-11-15|gato|frio|Cerveja|Escrever
10142518|2020-07-18|Masculino|1966-12-21|gato|moderado|refrigerante|Escutar música
10142563|2020-07-18|Masculino|1962-11-24|cachorro|quente|Cerveja|Aprender algo novo
10143093|2020-07-18|Masculino|1991-01-17|gato|moderado|Café|Assistir TV
10143469|2020-07-18|Feminino|1989-04-27|gato|quente|Água|Pintar quadros
10143561|2020-07-18|Masculino|1969-10-23|gato|frio|Chá|Escrever
