cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141587|2020-02-21|Feminino|1991-11-09|gato|frio|Chá|Praticar esporte
10141630|2020-02-21|Feminino|1995-05-22|tartaruga|moderado|Chá|Escutar música
10142002|2020-02-21|Feminino|1972-01-23|gato|moderado|Vinho|Ler livros
10142503|2020-02-21|Masculino|1971-10-11|gato|moderado|Água|Pintar quadros
10142625|2020-02-21|Feminino|1957-10-01|peixe|quente|Água|Pintar quadros
10142961|2020-02-21|Masculino|1964-11-15|cachorro|frio|Cerveja|Dormir
10143252|2020-02-21|Masculino|1953-09-07|gato|quente|Cerveja|Escutar música
10143356|2020-02-21|Feminino|1999-06-13|tartaruga|moderado|Cerveja|Praticar esporte
10143400|2020-02-21|Masculino|1960-05-06|cachorro|quente|Vinho|Aprender algo novo
10143512|2020-02-21|Feminino|1967-07-05|tartaruga|frio|Cerveja|Aprender algo novo
