cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141643|2020-03-21|Masculino|1973-11-11|tartaruga|frio|Água|Aprender algo novo
10141865|2020-03-21|Feminino|1960-10-26|peixe|quente|Café|Escutar música
10141989|2020-03-21|Feminino|1993-01-30|gato|frio|Café|Praticar esporte
10142013|2020-03-21|Feminino|1973-03-23|tartaruga|moderado|Água|Ler livros
10142222|2020-03-21|Masculino|1996-06-20|gato|moderado|refrigerante|Assistir TV
10142318|2020-03-21|Masculino|1992-01-06|tartaruga|moderado|Cerveja|Ler livros
10142347|2020-03-21|Masculino|1956-11-01|tartaruga|frio|Vinho|Escutar música
10142550|2020-03-21|Masculino|1972-02-10|tartaruga|frio|Vinho|Assistir TV
10142864|2020-03-21|Masculino|1995-03-25|cachorro|frio|Vinho|Escutar música
10142982|2020-03-21|Masculino|1960-01-18|gato|quente|Chá|Dormir
