cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141933|2020-03-10|Feminino|1962-09-06|gato|quente|Chá|Pintar quadros
10141975|2020-03-10|Feminino|1990-07-29|tartaruga|moderado|Chá|Assistir TV
10142050|2020-03-10|Masculino|1950-11-20|cachorro|frio|Chá|Dormir
10142465|2020-03-10|Masculino|1998-10-15|peixe|frio|Cerveja|Escutar música
10142594|2020-03-10|Masculino|1997-10-07|gato|quente|Cerveja|Pintar quadros
10142781|2020-03-10|Masculino|1972-03-29|gato|moderado|Cerveja|Pintar quadros
10142785|2020-03-10|Masculino|1996-09-20|tartaruga|quente|refrigerante|Dormir
10143085|2020-03-10|Masculino|1974-04-12|gato|quente|Café|Escutar música
10143416|2020-03-10|Masculino|1982-12-10|peixe|moderado|Chá|Assistir TV
10143457|2020-03-10|Feminino|1963-05-27|cachorro|frio|Chá|Ler livros
