cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141725|2020-10-23|Feminino|1986-11-18|peixe|moderado|Café|Aprender algo novo
10141731|2020-10-23|Feminino|1995-09-11|peixe|moderado|Chá|Escutar música
10141800|2020-10-23|Feminino|1951-06-06|gato|frio|Café|Escutar música
10141852|2020-10-23|Feminino|1950-07-04|gato|quente|Cerveja|Pintar quadros
10142045|2020-10-23|Feminino|1959-06-02|peixe|quente|Cerveja|Dormir
10142147|2020-10-23|Masculino|1956-04-16|gato|quente|Chá|Dormir
10142244|2020-10-23|Masculino|1972-04-03|gato|frio|Café|Dormir
10142331|2020-10-23|Masculino|1990-08-16|gato|frio|refrigerante|Dormir
10143042|2020-10-23|Masculino|1973-07-28|peixe|moderado|Vinho|Aprender algo novo
10143215|2020-10-23|Masculino|1966-10-01|gato|frio|Café|Escrever
