cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141532|2020-06-04|Feminino|1990-08-10|peixe|moderado|Água|Aprender algo novo
10141563|2020-06-04|Feminino|1956-11-28|cachorro|frio|Chá|Praticar esporte
10141658|2020-06-04|Feminino|1963-03-04|gato|moderado|Chá|Escrever
10142121|2020-06-04|Feminino|1986-05-09|gato|frio|Café|Escutar música
10142491|2020-06-04|Masculino|1954-06-10|cachorro|quente|Água|Pintar quadros
10142639|2020-06-04|Feminino|1964-12-25|cachorro|moderado|refrigerante|Escrever
10142716|2020-06-04|Masculino|1953-03-22|gato|quente|Água|Aprender algo novo
10142887|2020-06-04|Masculino|1951-07-03|gato|moderado|Café|Dormir
10142926|2020-06-04|Masculino|1993-04-04|gato|quente|refrigerante|Assistir TV
10143321|2020-06-04|Masculino|1990-05-01|gato|quente|Chá|Assistir TV
10143403|2020-06-04|Masculino|1990-07-22|peixe|quente|Chá|Pintar quadros
10143491|2020-06-04|Masculino|1965-02-01|peixe|frio|refrigerante|Escutar música
