cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141522|2020-07-17|Masculino|1972-04-18|peixe|frio|Chá|Dormir
10141566|2020-07-17|Feminino|1976-11-28|gato|moderado|Vinho|Dormir
10141627|2020-07-17|Feminino|1987-10-29|peixe|quente|Café|Pintar quadros
10141670|2020-07-17|Feminino|1975-03-29|peixe|quente|Chá|Escrever
10141841|2020-07-17|Feminino|1973-02-27|tartaruga|quente|Cerveja|Aprender algo novo
10141855|2020-07-17|Feminino|1976-05-05|gato|frio|Cerveja|Aprender algo novo
10141867|2020-07-17|Feminino|1963-07-05|gato|quente|Cerveja|Dormir
10142146|2020-07-17|Masculino|1991-04-08|peixe|moderado|Cerveja|Dormir
10142486|2020-07-17|Masculino|1950-10-06|gato|quente|Vinho|Ler livros
10142905|2020-07-17|Masculino|1983-10-02|gato|quente|Chá|Escutar música
10142927|2020-07-17|Masculino|1970-05-11|peixe|quente|refrigerante|Escutar música
10143058|2020-07-17|Masculino|1960-07-16|peixe|moderado|Água|Escrever
10143102|2020-07-17|Masculino|1984-06-29|cachorro|quente|Café|Aprender algo novo
