cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies
10141631|2020-04-04|Feminino|1960-11-13|gato|moderado|refrigerante|Dormir
10142090|2020-04-04|Masculino|1997-09-05|tartaruga|frio|Chá|Pintar quadros
10142549|2020-04-04|Masculino|1951-11-08|gato|moderado|Cerveja|Pintar quadros
10142667|2020-04-04|Masculino|1965-12-31|cachorro|frio|Água|Escrever
10142704|2020-04-04|Masculino|1991-05-22|gato|quente|Chá|Assistir TV
10142738|2020-04-04|Masculino|1967-01-14|tartaruga|moderado|Vinho|Escutar música
10142933|2020-04-04|Masculino|1962-03-27|tartaruga|frio|Café|Pintar quadros
10143010|2020-04-04|Masculino|1988-05-19|peixe|frio|Café|Praticar esporte
10143088|2020-04-04|Masculino|1976-12-14|gato|moderado|refrigerante|Dormir
10143189|2020-04-04|Masculino|1986-05-23|cachorro|quente|Chá|Dormir
10143455|2020-04-04|Feminino|1956-10-10|peixe|moderado|Café|Escrever
